eps,N,log_eps,log_N
0.150736562103,24,-1.89222158763,3.17805383035
0.11047757304,31,-2.20294273753,3.43398720449
0.0809710263696,43,-2.51366388744,3.76120011569
0.0593451406554,58,-2.82438503735,4.06044301055
0.0434951349552,79,-3.13510618725,4.36944785247
0.0318783769636,108,-3.44582733716,4.68213122712
0.0233642433546,146,-3.75654848706,4.98360662171
0.0171240796906,199,-4.06726963697,5.29330482472
0.012550550035,271,-4.37799078688,5.60211882088
0.00919852681288,371,-4.68871193678,5.91620206261
0.00674176791388,505,-4.99943308669,6.22455842928
0.0049411645505,688,-5.3101542366,6.53378883793
0.00362146953544,940,-5.6208753865,6.84587987526
0.00265424101183,1281,-5.93159653641,7.1553963019
0.00194534160233,1748,-6.24231768631,7.46622755622
0.00142577630776,2386,-6.55303883622,7.77737360266
0.00104497743602,3255,-6.86375998613,8.08794755464
0.000765883004114,4439,-7.17448113603,8.39818440483
0.000561329609399,6057,-7.48520228594,8.70896990698
0.000411408699104,8264,-7.79592343585,9.0196640108
0.000301528932136,11274,-8.10664458575,9.33025446864
0.00022099604873,16540,-8.41736573566,9.71353696858
0.000161972031036,28937,-8.72808688556,10.2728763321
0.000118712252951,52646,-9.03880803547,10.8713455413
8.70063733256e-05,86005,-9.34952918538,11.3621607131
6.37685564137e-05,129678,-9.66025033528,11.7728097337
